aplicativo,comentario,nota
iFood,sei opção bloquear loja pois muitos vendedores mandam coisas horrorosas cliente aceitam críticas ainda faltam respeito ficam desaforo cliente pouco adianta pois sempre nomes fantasias continuar serviços péssimos falência chegue demora lixos,3
iFood,bomas vezes comidas caras propagandas enganosas bom 👍🏼,5
iFood,saborosa lembra infância,5
iFood,péssimo recebe pedido problemas dinheiro nunca consegue resolver suporte nenhum falar oferecem tal clube cupons compra hora usar nenhuma loja aceita roubo mão aramada cara dura péssimo percam tempo dinheiro,1
iFood,bom,5
iFood,tal cupons desconto promoção disponível promoção aplica compra cupons entrega grátis aplica compra assina pacote aparece cupons comprar sendo assina,1
iFood,horrível nada funciona nesse várias compras fiz mercado cancelam atrasam horas impossível entrar contato atendimento tô prefiro,1
iFood,vários cupons promoção várias opções compras facilitando vida gente precisar sair casa recebo compras,5
iFood,bom sempre preciso 🖒🖒,5
iFood,aparece ícone prancheta mercados lista salva,1
iFood,péssima experiência recentemente fiz pedido chegou faltando alguns produtos entrei contato ifood fizeram devolução valor pago resumindo dinheiro jogado plataforma ta ai consumidores,1
iFood,coloquem opção transferir banco origem pagamos produto reembolsam carteira fica preso loja mínimo absurdo ter função pessoa quiser comprar ifood vai comprar invés prendendo dinheiro carteira obrigar comprar novamente,1
iFood,vezes decepciona recentemente fiz pedido restaurante pedido atrasou final cancelou pedido esperei duas horas chegar ainda fiquei fome reclama próprio restaurante pq dizia próprio restaurante entregadores fazer pedido falei restaurante entregadores próprio ifood pedido pronto hora nenhum entregador próprio ifood quis fazer entrega,1
iFood,momento ótimo começo pouco tempo,5
iFood,amo ifood inteira responsabilidade cliente,5
iFood,motoboy nao chamou imagens segurança mostra sentado olhando portao pedido cancelado reembolso quero dinheiro,1
iFood,boas ofertas salva cidade,5
iFood,melhor delivery mundo,5
iFood,melhor pedir comidasempre,5
iFood,revolucionou demais amo vivo,5
iFood,atendimento horrível resolução problemas,1
iFood,bom faltou promoção desconto entrega valor outros aplicativos,5
iFood,péssimo permitem avaliar qdo dá tudo certo lojas péssimas cancelam pedido horas dar satisfação seguem fazendo gente trouxa sequer dar possibilidade reclamar ifood dá suporte cliente alternativas válidas reclamar desse tipo situação tenta encaixar alguma outra alternativa próprio atendimento ifood encerra outra forma gente ouvido insatisfação pouco melhorar ficar ruim,1
iFood,ótimo melhor comida mundo,5
iFood,sempre boa opção escolha aproveitar,5
iFood,ótimo deveria ter opções mercado comprar verona vezes cansada pedido nada,3
iFood,comer sair casa 👍👍 topzera,5
Delivery Much,ótimo gosto uso,5
Delivery Much,ótimo tanto trabalha tanto compra faria chat tipo ifood cliente falar loja caso aconteça algo,5
Delivery Much,excelente avaliações estabelecimentos deveria aparecer comentário avaliação cada cliente,5
Delivery Much,péssima qualidade permite fazer entrega vários lugares cidade enquanto demais todos fazem,1
Delivery Much,adoro pedir delivery much,5
Delivery Much,horrível vive travado some cupom recomendo,2
Delivery Much,nao posso reclamar bom bastante opções so muita taxa pagar paga taxa restaurante perdir embalagem taxa entrega maioria vezes sai caro pedir própria empresa,3
Delivery Much,lixo loja aceita pedido envia cancela perde tempo esperando tbm oportunidade comprar outro lugar avaliar loja mesma recebe nenhum tipo punição lixo,1
Delivery Much,todo bugado suporte cliente pior ainda faz quase mês tô tentando reembolso pedido deu problema enfim péssimo,1
Delivery Much,bomsempre entregando preciso,5
Delivery Much,consigo inserir cupons desconto,5
Delivery Much,senti falta suporte atendimento rápido fiz pedido recebi veio incompleto nao consegui acesso restaurante suporte chat nao deu nenhum retorno momento,2
Delivery Much,acertei brasil terminaria primeiro tempo empatado egito deram cupom,1
Delivery Much,achei super rápidoe gostoso,5
Delivery Much,gostei muitas opções comida fica difícil escolher sempre vou comprar achei pouco difícil fazer compra ficasse fácil melhor,5
Delivery Much,cobra taxinha pedido funciona bem,4
Delivery Much,fácil prático lidar,5
Delivery Much,trava mostra todas opções facilmente lembro encontrar problemas,5
Delivery Much,rastreamento tempo real cliente quer saber exatamente onde pedido preparando saindo entrega chegando descrição detalhada fotos reais informar ingredientes evitar alergias restrições alimentares ex vegano glúten tamanhos porções política preços clara exibição separada valor item taxa entrega cupons aplicados atendimento suporte cliente resolução rápida problemas canais ágeis relatar itens faltando pedidos canais,1
Delivery Much,lanche bem preparado saboroso refrigerante bem gelado,5
Delivery Much,pior comida além funcionar direito deixa mão quase todas vezes usa recomendo,1
Delivery Much,tentei usar fica fechando sozinho,1
Delivery Much,excelente alternativa ifood geralmente preços melhores recomendo todos,5
Delivery Much,ótimo aí começou cobrar taxa usar aba avaliação loja impossivel visualizar ifood visualizar,3
Delivery Much,bom fácil mexer,5
Delivery Much,bem organizado fácil entender,5
Delivery Much,melhor mundo pedir comida 👏🏻,5
Delivery Much,si bom variedades fácil pedir problema entrega suporte devolução dinheiro encomendei paguei vários produtos loja associada entregaram produto consegui devolução dinheiro pois loja lançou entregue encomenda acabei perdendo dinheiro,3
Delivery Much,entregadores rápidos atenciosos trava mostra todas promoções descontos dá descontos maravilhosos apenas baixem usem indico,5
Delivery Much,algumas lojas cupom dá usar pq aceita pix cupom posso usar pago entrega acho deveria ter opção tirar foto pedido próximos clientes sabe ia receber,4
Delivery Much,ótimo encontrar variedades comida bebidassobremesa único lugar sair casa melhor qualquer hora,5
Delivery Much,opção cancelar pedido restaurante aí responde entrega pessoa fica esperando nada dinheiro volta posso pedir,1
Delivery Much,melhorar relação cliente possibilidades parece caixa econômico estado rodando windows xp,1
Delivery Much,família sempre pedetop,5
Delivery Much,amo delivery much sempre atendendo bem,5
Delivery Much,taxas altas serviço poucas funcionalidades much assinado assim pagava quase reais taxa pedidos máximo reais cupons iam pagar frete taxa deveriam repensar questão plano pagar taxas diminuir porcentagem,3
Delivery Much,ótimo várias opções loja,5
Delivery Much,prático preços acessíveis entrega sempre dentro prazo,5
Delivery Much,taxa pedido qualquer valor,1
Delivery Much,bom melhorar inclusive tempo preparo passar tempo informação deveria cancelar automaticamente loja entrar contato dando satisfação atraso alguns pagando corrida vale pena comidas lanches etc bons outros posso dizer mesma coisa além vir comida ruim pouca preço realidade deveria ter opção bloquear restaurante bares etc facilitar cupom abrir some simplesmente some,4
Delivery Much,ótimo fazer pedidos,5
Delivery Much,prefiro avaliar antes receber,4
Delivery Much,maionese maravilhosa frango delicia,5
Delivery Much,taxa custando média hahaha hilário partiu desinstalar ainda concursado gastar dinheiro assim,1
Delivery Much,excelente célere descomplicado facilidade clientes,5
Delivery Much,desinstalando agora fiz pedido cancelaram mandaram reembolso reais jogado lixo respondem suporte nunca compro nisso irei espalhar pras pessoas comprar,1
Delivery Much,ruim opção cancelar loja atrasar pedido horas nao opção nenhuma contato solucionar problema,1
Delivery Much,bom poderia adicionar função cancelar pedido precisar ligar estacionamento muitos atendem,5
Delivery Much,código verificação lixo min tentando descubro cidade,1
Delivery Much,difícil contato suporte pedido atrasou pedem ligar loja loja atende aí volta fazer reclamação chat fica bugado primeira abre outro,3
Delivery Much,gosto usar problemas reembolso pois automático nota,5
Delivery Much,tempo cá começou nao entregar pedido estabelecimento entrar contato direto estabelecimento questionar nada terem recebido pedido esperando horas melhorem,1
Delivery Much,conseguindo atualizar endereço diz manutenção assim semanas conseguem concertar,1
Delivery Much,bom preparo delícia recomendo,5
Delivery Much,sempre peço lanches refeições uso delivery much praticidade segurança mim melhor satisfaz,4
Delivery Much,melhor pizza cidade,5
Delivery Much,bom sushi pizza hambúrguer açaí contar fazer pix próprio pagar cartão dinheiro etc várias formas pagamento top contar entregadores gente boa recomendo falar cupons desconto vem próprio mostra lojas fechadas aberta quantos km loja residência top nota,5
Delivery Much,açaí delícia entregador mto educado,5
Delivery Much,opção comprar cupons adicionais,3
Delivery Much,decepcionado agora estao exigindo pagamento pix adiantado pedidos chegam plataforma vai permitir roubem cara dura,1
Delivery Much,simples prático funciona bem demais,5
Delivery Much,apple bom pena alguns restaurantes nao deixa número contato atualizado,5
Delivery Much,amando agilidade entrega,5
Delivery Much,rápido muitas opções além promoções incríveis,5
Delivery Much,bom funcional,5
Delivery Much,bom porém agora adicionando taxas adicionais,4
Delivery Much,atendimento excelente ótima refeição,5
Delivery Much,mt maravilhoso mt opções restaurantes😍☺️,5
Delivery Much,fiz pedido chegou rapidinho precinho bem especial amando caçador sc,5
Delivery Much,cupom preço praticado piada mau gosto,1
Delivery Much,bom porém ainda falta recursos poder falar loja diretamente pós aí fica melhor receber entrega,4
Delivery Much,bom vários coercios verus bom,5
Delivery Much,excelente super recomendo experiencia bom obrigado,5
Delivery Much,útil bom,5
Delivery Much,burocrático cancelar assinatura pacote cupons,1
Delivery Much,dia inteiro tentando resolver problema pedido delivery agora nada péssimo,1
Delivery Much,ótimosempre uso appe sempre deu certo obgd,5
Delivery Much,restaurantes nao atualizam status entrega restaurante recusa pedido nao avisa,1
Delivery Much,fácil fazer pedidos grandes descontos,5
Delivery Much,ótimo ótimas restaurante excelentes promoções,5
Delivery Much,fácil acesso bem prático mexer fazer pedido,5
Delivery Much,tendo problemas adicionar novo endereço muitos dias sempre tento adicionar novo endereço aparece mensagem dizendo manutenção mudei antigo endereço agr consigo salvar novo endereço onde moro prfvr arrumem,1
Delivery Much,melhor pede ai,5
Delivery Much,dei estrelas porque recebo muitas notificações dias recebi tarde noite,4
Delivery Much,reais taxa pagar impostos próprio pagar colocam nois clientes pagar kjkk🤌🏻,1
Delivery Much,excelente chegou antes horário,5
Zé Delivery,zé delivery nota,5
Zé Delivery,zé delivery ajuda bastante pena poucos produtos compra,5
Zé Delivery,possuí falha estratégica séria possível escolher alterar fornecedor morando capital sempre atendido local muitas vezes enviam produtos diferentes solicitado tampas zé compensa chegaram mandar produtos estragados além disso distante onde resido aparentemente feito forçar usuário pagar entrega premium caso deseje distribuidora próxima viável ligar distribuidora,1
Zé Delivery,fazem propaganda entrega grátis segunda sexta todas entregas grátis,4
Zé Delivery,zé delivery sempre arrasando preço bom bebida bem gelada qualidade entrega rápida top galáxia,5
Zé Delivery,sempre rápido cerveja gelada,5
Zé Delivery,bom entrega super rápida,5
Zé Delivery,amei confiável amei,5
Zé Delivery,excelente bons preços entrega absolutamente rápida,5
Zé Delivery,entraga rapidinho gelada preço ótimo👍🏽,5
Zé Delivery,suporte horrível bloquearam conta dar explicação arrependimento ter utilizado serviço tanto tempo nunca,1
Zé Delivery,taxa conveniência ridículo,3
Zé Delivery,sentir falta opções produtos disponibilidade coisas simples gelo,4
Zé Delivery,is preço taxa entrega cara comprei nsonpoder sair casa muda pior preço ótimo pena vinho tinga acabou fretis grátis,2
Zé Delivery,funcionando região,1
Zé Delivery,cerveja nao bem gelada,3
Zé Delivery,péssima administração bloquearam acesso email fizesse nada errado deram motivo explicação fato,1
Zé Delivery,ótimo apenas alguns parceiros atrasam demais entrega,5
Zé Delivery,shom bola brasil rumo exa ze delibery dando shom,5
Zé Delivery,melhor delivery rápida entrega,5
Zé Delivery,bom sinto melhorar vários aspectos gostei usar porém ainda favorito,4
Zé Delivery,comprei chegou rápido estando outro estado parabéns zé,5
Zé Delivery,lixo papo entrega grátis seg sex chegar valor mínimo vcs colocam barreira cliente gastar ter entrega grátis inadmissível,1
Zé Delivery,mal atendida entregador,1
Zé Delivery,ótima opção divertir sair casa,5
Zé Delivery,super prático rápido vale pena,5
Zé Delivery,super rápido motoboy super educado obrigado,5
Zé Delivery,eita aí sim bebida chegou trincado achei zé delivery lenda arrasou virei cliente obrigada,5
Zé Delivery,almoçar nota dez rápido entrega,5
Zé Delivery,bom adorei chegou rápido,5
Zé Delivery,cupom entrega gratis nao ta selecionando,2
Zé Delivery,mandar ir gmail buscar código login crashar troco simplesmente impossibilita use gestores produto sabem priorizar,1
Zé Delivery,ate momento nota,5
Zé Delivery,propaganda enganosa troca camisa,1
Zé Delivery,variedade produtos entrega rápida profissionais,5
Zé Delivery,fácil usar entrega bem rápida,5
Zé Delivery,bom obrigado zé,5
Zé Delivery,show papai assim ficou fácil fazer pedido,5
Zé Delivery,faltando localização entregador,5
Zé Delivery,bebida gelada chega rapidinho,5
Zé Delivery,toda vez vier rápido bem gelado vou ficar satisfeita,4
Zé Delivery,atualmente zé ta negação mostra mim preço cerveja corona ml partir unidades comprando adquirir cupom trocar valor absurdo fazem cliente fidelidade nota,2
Zé Delivery,ótimo tempo fechada alguém sabe aconteceu,4
Zé Delivery,top demais facilitou vida,5
Zé Delivery,adorando zé bom,5
Zé Delivery,amo vou dar estrelas realmente pude acompanhar entrega tempo real tela inteira limpa hoje complicado ainda fazer,4
Zé Delivery,hoje dia fiz pedido ze delivery chegou rapido porem infelicidade pedido entregue moto boy mal educado grosseiro noção nenhuma segundo fazer pedido la rua porq localização puxa rua baixo sendo nao utilizei localização somente digitei nome rua n° enfim sair rua fazer pedido logo seguida paciência nenhuma aguardar código extremamente grosseiro causa desse tipo,1
Zé Delivery,parabéns entrega super rápido,5
Zé Delivery,horário funcionamento curto,2
Zé Delivery,zé pediu chegou valeu,5
Zé Delivery,cobram pouco entregas rápido entregam devolvem valor massa,1
Zé Delivery,lixo melhor,1
Zé Delivery,entrega cara produtos cocacola,2
Zé Delivery,alguns endereços batem dificultando entrega,4
Zé Delivery,beleza pura costei pontualidade,5
Zé Delivery,bom rápido ha entrega,5
Zé Delivery,faz nenhuma gestão estabelecidos atrasa coloca falar lógica querem ter nenhum trabalho intermediação nada ajudar bem atendido fica,2
Zé Delivery,localização tempo real útil,5
Zé Delivery,opção aceitar substituição precisa aplicada antes pagamento,4
Zé Delivery,top demais amigo,5
Zé Delivery,melhor amo fazer pedidos,5
Zé Delivery,melhor,5
Zé Delivery,bem elaboradoobjetivo rápido,5
Zé Delivery,acho enfor quantos minutos fata entrega chegar,3
Zé Delivery,melhor entrega cerveja super gelada parabéns,5
Zé Delivery,fiz pedido jogo nada pedido chegar entrei contato suporte tentou ligar loja liguei loja próprio zé delivery sucesso entrei contato whatsapp resposta suporte devolveu dinheiro nenhuma compensação cupom avaliar pedido dar nota negativa consegui descaso considerando usar,1
Zé Delivery,aceita pepsi boa sorte guerreiro,1
Zé Delivery,muitas vezes funciona geralmente qdo precisars,1
Zé Delivery,precisa descontos aumentar pedidos,5
Zé Delivery,intuitivo rápido poluição visual escolhendo,5
Zé Delivery,bom,5
Zé Delivery,bom rápido melhor esperiesia,5
Zé Delivery,amei tirou taxa entrega segunda sexta uhuuuuuu,5
Zé Delivery,dá nenhum suporte cliente joga parceiro ainda permite cancelamento hora atraso consegui cancelar horrível,1
Zé Delivery,fato pedir bebida sair casa vale estrelas,5
Zé Delivery,sobre algum problema pedidos péssimo,2
Zé Delivery,refém distribuidora pedido faz hmin ainda mandou entrega permite cancelar zé delivery conivente golpes lixo,1
Zé Delivery,gosto comprar pq sério,5
Zé Delivery,podia ter entrega oohs bairro escanie tampinhas deu escanie tampinhas contagem ta totalmente errado sacanagem pode tampinhas pontos,5
Zé Delivery,surpreendi perceber cervejas vieram gelo sacola manter temperatura,5
Zé Delivery,rápido entrega pessoas educadas,5
Zé Delivery,vale pena poucas distribuidoras tentei pedir vários endereços cidade aparece nenhuma,2
Zé Delivery,então participei promoção comprando bramas ganhava bola ganhei,5
Zé Delivery,esperar min cancelase pedidos dar satisfação pode sério,1
Pigz,bem prático usar acredito gente pudesse avaliar estabelecimento ótimo pois parâmetro qualidade serviço eou comida fugir estabelecimento ruim aconteceu comigo,3
Pigz,bom bons preços precisa colocar opção deixarmos avaliação sobre restaurantes pois muita frequência entregas chegam minutos atraso após horário programado entrega,3
Pigz,ultimamente tido muitos atrasos preços meio exagerados continua sendo prático fácil pagamentos talvez culpa estabelecimentos falta cobrar lojas,3
Pigz,encontramos tudo lanche neste nota,5
Pigz,último trabalhar entrega bike aro,5
Pigz,ruim quero confirmar número telefone whatsapp possível,1
Pigz,bom uns bugs vezes restaurantes vi boa,3
Pigz,vale livrar ifood,4
Pigz,ótimo aplicativoestou usando faz bom temporecomendo,5
Pigz,bom rapidez segurança pagamento agilidade entrega ❤️❤️,5
Pigz,recomendo oferece suporte nada pedido atrasa vem errado virar falar loja gran maioria contatos pigz lojas ninguém responde enfim constrangimento,1
Pigz,falta cupom desconto nunca disponível,3
Pigz,dão poucos cupons desconto,4
Pigz,nao nenhuma aba nesse mostre pedido tempo real equívoco acompanhar precisa falar direto loja,1
Pigz,fiz pedido paguei pix pedido pendente confirmação agora to dinheiro comida,1
Pigz,super seguro aprovado,5
Pigz,deveria ter opção cancelamento pois erro endereço ligar empresa consertar endereço certo deveria ter opção alterar endereço caso errado,1
Pigz,lento demora atender comandos paciência clicar várias vezes fechar aba eventos clicar pedidos péssimo,4
Pigz,sensacional parabéns agora falta idealizar entregadores através pigz,5
Pigz,trava some nao localiza pedido putz,3
Pigz,sido bom então gostaria deixar sugestão aba ingressos acredito interessante adicionar opção colocar dados outra pessoa compra ingresso comprei dois ingressos recentemente consegui colocar dados esposa então dois ingressos saíram nome acredito dê problemas porém algo pensar futuramente parabéns desenvolvedores nunca problema,4
Pigz,sempre atende expectativas,5
Pigz,excelente dias hoje prático eficiente,5
Pigz,bom uso recomendo,5
Pigz,ótimo nunca tão fácil pedir forma online diversidade lojas atendidas,5
Pigz,melhor pedidos delivery,5
Pigz,consigo logar conta consigo fazer pedidos tento entrar número celular diz código expirou acabado receber,1
Pigz,deveria aceitar cartão débito,1
Pigz,top hoje segunda vez novato,5
Pigz,ótimo recomendo,5
Pigz,precisam melhorar opção entrega onde moro exemplo difícil encontrar mapa permite adicionar endereços sugere fica difícil relatar entregador onde local exato pois nunca encontro sugestão habilitem opção editar endereço manualmente função gps mapa,4
Pigz,dou quatro estrelas porquê pode melhorar avaliação pedido estabelecimento outro ponto interessante poder adicionar itens pedido antes sair entrega bebida outro item comprometa tempo entrega ideia adicional ter taxa quer entregador suba prédio evitando brigas cadê notificação informando pedido saiu entrega,4
Pigz,acpmpra orientação sobre pedido mandaram gordura assada,5
Pigz,podiam pedir vendedores atenderem número colocam pedido atrasado lugar reclamar pigz direciona número vendedor sequer ler,1
Pigz,queria saber entregador,4
Pigz,bomas pq opção chat restaurante toda vez restaurante demora obrigado ligar lá vezes estando crédito falar chat,2
Pigz,gosto chega rapido,5
Pigz,permite uso cartão somente pix atualiza on time,2
Pigz,super fácil usar grande variedade 👏🏻👏🏻👏🏻,5
Pigz,solicito algo modifica,2
Pigz,fácil usar pode fazer pedido login ágil,5
Pigz,melhor cidade,5
Pigz,demorou pouco aceitar pagamento dinheiro,4
Pigz,prático rápido bom ainda acompanho entregasuper gostei👍,5
Pigz,melhor delivery super intuitivo prático rápido suporte realmente funciona parabéns 🙌🙌,5
Pigz,experiência incrível fácil realizar pedidos simples entendimento,5
Pigz,realmente excelente fácil usar produtivo,5
Pigz,desinstalando necessita melhorar ofertar avaliação restaurantes clientes fazerem,2
Pigz,gostei fazer pedido online nunca tão fácil consigo encontrar diversas opções doces salgados enfim procura rápido bonito qualidade baixar pigz,5
Pigz,ter opção cancelar saco fiquei esperando pedido loja respondia cancelar,1
Pigz,conveniência seven melhorar total descaso cliente contratam blogueiros anunciar serviço atendimento deixam desejar igual propaganda prefeitura muita publicidade pouco serviço abrir espaço avaliações comentários restaurantes comércios etc entrega demora aqui engarrafamento menos trânsito,2
Pigz,genéteu sei depende mula coisas lomo lado cora tamble so gradecer grol tidão postudo am en,5
Pigz,deveria disponibilizar reclamações restaurantepedi pizzaria seven conveniência mandaram coisa nada aver pedido pedi reembolso diferença preço respondeu primeira vez acontece pigz,1
Pigz,fazer pedido diz entregue sendo pessoa sair casa ir lá loja pedir dinheiro volta,1
Pigz,ter avaliação lojas péssimo serviço local longe dessa forma provavelmente haverá imigrações outros cliente direito saber tipo loja vale pena comprar,3
Pigz,poderia ter opção cancelar pedido duplicado algumas lojas atendem chamadas,3
Pigz,pagamento online ifood faz pagamento crédito,1
Pigz,colocar avaliações lojas dá comprar algo saber loja avaliação boa poderia ter opção ver onde entregador tempo real,4
Pigz,penúltima atualização celular redminot empresas pararam carregar ficando eterno carregamento,1
Pigz,bom intuitivo precisa melhorar quesito comunicação clientes lojas desenvolvedores necessário,3
Pigz,top fazer cadastrar loja,5
Pigz,preços iguais loja física,5
Pigz,excelente super fácil usar previsa cadastro valor produtos igualzinho loja amei 😍❤️,5
Pigz,rápido prático fácil recomendado,5
Pigz,gostei baixei causa amigoirmão mit,5
Pigz,cinco estrela fácil prático bem intuitivo,5
