aplicativo,comentario,nota
iFood,aqui fome não tem chance,5
iFood,melhor app do mundo,5
iFood,excelente entrega dentro do prazo,5
iFood,ifood só engana se tem cupom no clube não consegue usar pq lojas tem pratos promocionais aparece popup de promoção entra pra ver nao tem mais não consegue comprar dois pratos promocionais na mesma loja tá muito chato ruim usar ifood gente vai escolher janta fica nervoso com raiva desiste,1
iFood,tem dias que estou com uma fome ai abro tem promoção incrível amo esse aplicativo,5
iFood,top atendimento muito simples fácil msm quem não tem tanta pratica com compras on line,5
iFood,bom dia meu amor tudo bem,5
iFood,ache app ótimo não tenho que reclamar acho super prático,5
iFood,adoro facilidade as opções de qualidade que rede proporciona me oferecendo melhor da rede alimentícia,5
iFood,oo aplicativo ruim não dá para mudar endereço,1
iFood,sempre encontro bons restaurantes melhor preço justo,5
iFood,me salva sempre que eu tô com fominha de comidinhas gostosas amoo,5
iFood,excelente não tenho nenhuma queixa,5
iFood,fazendo entregador de burro de carga pet shop depósito de bebidas mercados tem que ser muito otário para aceitar,1
iFood,muito bom amo as entregase nunca veio errado amo muitooooooo hahaha,5
iFood,top sem reclamações por enquanto,5
iFood,excelente app ótimas lojas restaurantes,5
iFood,gostaria de saber porquê quando fas pedido na hora de revisar não aparece qr code para pagamento já foi melhor,1
iFood,muito bom muita promoção comida gostosa,5
iFood,app me cobrou em momento algum foi informado da adesão do clube ifood,1
iFood,aplicativo sensacional muito bom peço sempre,5
iFood,eu acho que pelo ifood demora muito para enviar as coisas não tem como rastrear pedido isso aí um erro,1
iFood,gosto muito do app td bem explicado,5
iFood,muito fácil de usar tem muitas promoções boas,5
iFood,muito bom prático um ótimo aplicativo,5
iFood,muito bom indico suporte sempre resolve caso haja problemas com pedido,5
iFood,uma decepção descontos totalmente fantasmas você tem acesso ao clube não pode utilizar nenhum desconto de lá pq tudo agora tem um valor mínimo tristeza hein partiu food,1
iFood,pedido não chega não tem como avaliar loja,2
iFood,violador do artigo do cdc outros ele tbm gosta de violar,1
iFood,app muito bom principalmente na questão de cupons ofertas só acho que poderia ter uma espécie de filtro para escolher os itensestabelecimentos mais relevantes ou itens pelo menos preço por exemplo,4
iFood,de fato um app de delivery emocionante atrativo acho que não existe outro melhor tem sempre um cuponzinho de desconto que deixa pagamento mais agradável para consumidor,5
iFood,dois dias úteis só de splash screen app demora para ficar mostrando animaçãozinha ridícula trava não consigo abrir app,3
iFood,não sei se tem opção bloquear loja pois muitos vendedores mandam coisas horrorosas para cliente não aceitam críticas ainda faltam com respeito ficam com desaforo com cliente mais pouco adianta pois sempre tem nomes fantasias para continuar com seus serviços péssimos falência que chegue sem demora esses lixos,3
iFood,muito bomas vezes comidas são caras tem propagandas enganosas mais bom 👍🏼,5
iFood,muito saborosa lembra minha infância,5
iFood,péssimo aplicativo se você recebe um pedido com problemas já era seu dinheiro você nunca consegue resolver aplicativo sem suporte nenhum sem falar que oferecem esse tal de clube de cupons você compra na hora de usar nenhuma loja aceita isso um roubo sem mão aramada na cara dura péssimo não percam tempo nem dinheiro de vocês também,1
iFood,app muito bom,5
iFood,esse tal de cupons de desconto essa promoção não está disponível ou essa promoção não se aplica essa compra cupons de entrega grátis não se aplica essa compra vc já assina pacote aparece cupons pra vc comprar sendo vc já assina,1
iFood,horrível nada funciona nesse app várias compras que fiz em mercado que eles cancelam ou atrasam horas impossível entrar em contato com atendimento tô fora prefiro,1
iFood,tem vários cupons de promoção várias opções de compras facilitando vida da gente sem precisar sair de casa recebo minhas compras,5
iFood,bom sempre que preciso 🖒🖒,5
iFood,não aparece ícone prancheta nos mercados mesmo com uma lista salva,1
iFood,péssima experiência recentemente fiz um pedido chegou faltando alguns produtos entrei em contato com ifood não fizeram devolução do valor pago resumindo dinheiro jogado fora com uma plataforma que não ta nem ai para os consumidores,1
iFood,coloquem opção de transferir pro banco de origem por que pagamos não tem produto eles reembolsam pra carteira fica preso por que loja tem mínimo um absurdo não ter essa função se pessoa quiser comprar no ifood ela vai comprar ao invés de tá prendendo dinheiro na carteira pra obrigar comprar novamente,1
iFood,as vezes app me decepciona muito recentemente fiz um pedido um restaurante pedido atrasou no final app cancelou pedido eu esperei duas horas pra chegar ainda fiquei com fome fui reclama com próprio restaurante pq app dizia que próprio restaurante não tinha entregadores pra fazer pedido só que quando falei com restaurante os entregadores era do próprio ifood ou seja meu pedido estava pronto hora nenhum entregador do próprio ifood quis fazer entrega,1
iFood,até momento tá ótimo começo pouco tempo,5
iFood,amo ifood de inteira responsabilidade com cliente,5
iFood,motoboy nao chamou tenho imagens de segurança mostra ele sentado olhando pro portao meu pedido foi cancelado sem reembolso quero meu dinheiro,1
iFood,boas ofertas me salva quando estou fora da minha cidade,5
iFood,melhor app de delivery do mundo,5
iFood,melhor app para pedir comidasempre foi,5
iFood,revolucionou demais eu amo não vivo sem,5
iFood,aplicativo tem um atendimento horrível para resolução de problemas,1
iFood,muito bom só faltou promoção desconto entrega tá mesmo valor dos outros aplicativos,5
iFood,péssimo só permitem avaliar qdo dá tudo certo lojas péssimas cancelam pedido depois de horas sem dar satisfação seguem fazendo gente de trouxa sem sequer dar possibilidade pra reclamar ifood não dá suporte pro cliente não tem alternativas válidas no app pra reclamar desse tipo de situação se vc tenta encaixar em alguma outra alternativa próprio atendimento do ifood encerra sem outra forma pra gente ser ouvido insatisfação pouco tem que melhorar muito pra ficar ruim,1
iFood,ótimo aplicativo melhor aplicativo de comida do mundo,5
iFood,sempre foi uma boa opção de escolha para eu aproveitar,5
iFood,um aplicativo ótimo mais deveria ter mais opções de mercado para comprar verona às vezes cansada pedido do nada,3
iFood,comer sem sair de casa 👍👍 topzera,5
Delivery Much,ótimo app gosto uso muito,5
Delivery Much,um ótimo aplicativo tanto pra quem trabalha tanto pra quem compra faria um chat tipo ifood pro cliente falar com loja caso aconteça algo,5
Delivery Much,excelente aplicativo mas nas avaliações dos estabelecimentos deveria aparecer comentário da avaliação de cada cliente,5
Delivery Much,aplicativo de péssima qualidade não permite fazer entrega em vários lugares na cidade enquanto os demais todos fazem,1
Delivery Much,adoro pedir no delivery much,5
Delivery Much,horrível vive travado some com cupom não recomendo,2
Delivery Much,nao posso reclamar do app ele muito bom bastante opções so que muita taxa pra pagar vc paga taxa do restaurante por perdir mais embalagem mais taxa do app mais entrega na maioria das vezes sai mais caro pedir pelo app do que pela própria empresa,3
Delivery Much,app lixo loja aceita pedido não envia nem cancela vc perde tempo esperando tbm oportunidade de comprar em outro lugar não há como avaliar loja mesma não recebe nenhum tipo de punição lixo,1
Delivery Much,aplicativo todo bugado suporte ao cliente pior ainda já faz quase um mês que tô tentando reembolso de um pedido que deu problema enfim péssimo,1
Delivery Much,aplicativo muito bomsempre entregando que preciso,5
Delivery Much,não consigo inserir os cupons de desconto,5
Delivery Much,senti falta de um suporte de atendimento rápido fiz um pedido recebi veio incompleto nao consegui acesso com restaurante suporte do aplicativo chat nao me deu nenhum retorno até momento,2
Delivery Much,acertei que brasil terminaria primeiro tempo empatado com egito não me deram cupom,1
Delivery Much,achei super rápidoe estava muito gostoso,5
Delivery Much,gostei de muitas opções de comida fica até difícil escolher sempre vou comprar achei um pouco difícil pra fazer compra se ficasse mais fácil seria melhor,5
Delivery Much,cobra uma taxinha no pedido mas funciona bem,4
Delivery Much,muito fácil prático de lidar,5
Delivery Much,app não trava mostra todas as opções facilmente não lembro de encontrar problemas com aplicativo,5
Delivery Much,rastreamento em tempo real cliente quer saber exatamente onde está pedido preparando saindo para entrega chegando descrição detalhada fotos reais informar ingredientes para evitar alergias restrições alimentares ex vegano sem glúten tamanhos das porções política de preços clara exibição separada do valor do item taxa de entrega cupons aplicados atendimento suporte ao cliente resolução rápida de problemas canais ágeis para relatar itens faltando pedidos canais,1
Delivery Much,lanche bem preparado muito saboroso refrigerante bem gelado,5
Delivery Much,pior aplicativo de comida que tem além de não funcionar direito te deixa não mão em quase todas vezes que se usa não recomendo,1
Delivery Much,eu tentei usar mas app fica fechando sozinho,1
Delivery Much,excelente alternativa ao ifood geralmente os preços são melhores recomendo todos,5
Delivery Much,era ótimo aí começou cobrar taxa para usar app aba de avaliação das loja impossivel de visualizar ifood da para visualizar,3
Delivery Much,muito bom fácil de mexer,5
Delivery Much,bem organizado fácil de entender,5
Delivery Much,melhor app do mundo para pedir comida 👏🏻,5
Delivery Much,aplicativo em si bom tem variedades fácil pedir só que quando da problema de entrega não se tem suporte nem devolução do dinheiro encomendei paguei vários produtos de uma loja associada não entregaram produto não consegui devolução do dinheiro pois loja lançou como entregue encomenda acabei perdendo dinheiro,3
Delivery Much,entregadores rápidos atenciosos aplicativo que trava me mostra todas as promoções descontos me dá descontos maravilhosos apenas baixem usem eu indico,5
Delivery Much,algumas lojas tem cupom mas não dá para usar pq não aceita pix tem cupom mas não posso usar se for pago na entrega acho que deveria ter opção de tirar foto do pedido para os próximos clientes já sabe que ia receber,4
Delivery Much,ótimo para encontrar variedades de comida bebidassobremesa num único lugar sem sair de casa melhor qualquer hora,5
Delivery Much,não tem opção de cancelar pedido restaurante nem aí não responde não entrega pessoa fica esperando nada nem dinheiro de volta posso pedir,1
Delivery Much,tem muito melhorar em relação ao cliente as possibilidades parece que um caixa econômico do estado rodando windows xp,1
Delivery Much,eu minha família sempre pedetop,5
Delivery Much,amo delivery much sempre atendendo muito bem,5
Delivery Much,aplicativo tá com taxas muito altas de serviço para poucas funcionalidades eu tinha much assinado mesmo assim pagava quase de reais de taxa em pedidos de no máximo reais os cupons iam só pra pagar frete taxa deveriam repensar essa questão de quem tem plano não pagar estas taxas ou diminuir porcentagem,3
Delivery Much,ótimo várias opções de loja,5
Delivery Much,muito prático preços acessíveis entrega sempre dentro do prazo,5
Delivery Much,taxa de por pedido qualquer valor,1
Delivery Much,aplicativo bom mas tem que melhorar inclusive no tempo de preparo se passar do tempo sem informação deveria cancelar automaticamente ou loja entrar em contato dando satisfação do atraso alguns mesmo pagando corrida vale pena comidas lanches etc bons mas tem outros que não posso dizer mesma coisa além de vir comida ruim pouca preço fora da realidade deveria ter opção de bloquear restaurante bares etc pra facilitar quando tem cupom ao abrir some simplesmente some,4
Delivery Much,um aplicativo ótimo para fazer pedidos,5
Delivery Much,prefiro não avaliar antes de receber,4
Delivery Much,maionese maravilhosa frango uma delicia,5
Delivery Much,taxa do app tá custando em média hahaha hilário partiu desinstalar eu ainda não sou concursado pra gastar dinheiro assim,1
Delivery Much,excelente aplicativo célere descomplicado facilidade aos clientes,5
Delivery Much,desinstalando esse app agora eu fiz um pedido cancelaram não me mandaram reembolso reais jogado no lixo não me respondem no suporte nunca mais compro nisso irei espalhar pras pessoas não comprar também,1
Delivery Much,app ruim não tem opção de cancelar quando loja atrasar seu pedido mais de horas nao tem opção nenhuma de contato com eles para solucionar problema,1
Delivery Much,aplicativo bom mais poderia adicionar função de cancelar pedido sem precisar ligar para estacionamento já que muitos não atendem,5
Delivery Much,código de verificação foi um lixo depois de min tentando descubro que não tem na cidade,1
Delivery Much,difícil contato com suporte meu pedido atrasou eles pedem pra ligar pra loja loja não atende aí volta pra fazer reclamação chat fica bugado da primeira não abre outro,3
Delivery Much,gosto de usar não tive problemas com reembolso pois automático app nota,5
Delivery Much,aplicativo de um tempo pra cá começou nao entregar pedido para estabelecimento temos que entrar em contato direto com estabelecimento para questionar nada deles terem recebido pedido nós esperando por horas melhorem,1
Delivery Much,não estou conseguindo atualizar meu endereço diz que estão em manutenção mas já está assim semanas conseguem concertar,1
Delivery Much,um bom preparo que delícia recomendo,5
Delivery Much,sempre que peço lanches ou refeições uso delivery much praticidade segurança pra mim melhor aplicativo me satisfaz,4
Delivery Much,melhor pizza da cidade,5
Delivery Much,aplicativo muito bom tem sushi pizza hambúrguer açaí sem contar que tem como fazer pix pelo próprio aplicativo ou pagar pelo cartão dinheiro etc várias formas de pagamento muito top sem contar os entregadores muito gente boa recomendo muito sem falar nos cupons de desconto que também vem pelo próprio aplicativo mostra as lojas que estão fechadas aberta quantos km da loja até sua residência top nota,5
Delivery Much,açaí uma delícia entregador mto educado,5
Delivery Much,não tem opção de comprar cupons adicionais,3
Delivery Much,decepcionado agora estao exigindo pagamento pix adiantado os pedidos não chegam até quando essa plataforma vai permitir que nos roubem na cara dura,1
Delivery Much,simples prático funciona bem demais,5
Delivery Much,apple muito bom pena que alguns restaurantes nao deixa número pra contato atualizado,5
Delivery Much,estou amando agilidade na entrega,5
Delivery Much,app rápido com muitas opções além de promoções incríveis de até,5
Delivery Much,muito bom app muito funcional,5
Delivery Much,muito bom porém agora tá adicionando taxas adicionais,4
Delivery Much,atendimento excelente uma ótima refeição,5
Delivery Much,esse app mt maravilhoso mt opções de restaurantes😍☺️,5
Delivery Much,fiz pedido chegou rapidinho com um precinho bem especial estou amando app caçador sc,5
Delivery Much,cupom preço praticado são uma piada de mau gosto,1
Delivery Much,um aplicativo muito bom porém ainda falta recursos como de poder falar com loja diretamente pelo aplicativo pós aí fica até melhor pra receber entrega,4
Delivery Much,muito bom vários coercios verus dos muito bom,5
Delivery Much,excelente super recomendo experiencia muito bom muito obrigado,5
Delivery Much,muito útil muito bom,5
Delivery Much,burocrático para cancelar assinatura do pacote de cupons,1
Delivery Much,estou dia inteiro tentando resolver um problema de pedido pelo delivery até agora nada péssimo app,1
Delivery Much,ótimosempre uso appe sempre deu certo obgd,5
Delivery Much,os restaurantes nao atualizam status de entrega restaurante recusa pedido nao avisa,1
Delivery Much,fácil de fazer pedidos com grandes descontos,5
Delivery Much,app ótimo ótimas restaurante excelentes promoções,5
Delivery Much,muito fácil acesso bem prático mexer fazer pedido,5
Delivery Much,estou tendo problemas em adicionar um novo endereço já tem muitos dias isso sempre que tento adicionar um novo endereço aparece uma mensagem dizendo que estão em manutenção me mudei do meu antigo endereço agr não consigo salvar novo endereço onde moro prfvr arrumem isso,1
Delivery Much,melhor que pede ai,5
Delivery Much,só não dei estrelas porque recebo muitas notificações esses dias recebi entre tarde noite,4
Delivery Much,esses reais de taxa do app para pagar os impostos que era para próprio aplicativo pagar mas colocam nois clientes pagar por eles kjkk🤌🏻,1
Delivery Much,excelente chegou antes do horário,5
Zé Delivery,zé delivery nota,5
Zé Delivery,zé delivery ajuda bastante pena que são poucos produtos pra compra,5
Zé Delivery,possuí uma falha estratégica séria não possível escolher ou alterar fornecedor mesmo morando em uma capital sou sempre atendido pelo mesmo local muitas vezes eles enviam produtos diferentes do solicitado sem as tampas do zé compensa já chegaram até mandar produtos estragados além disso ela muito distante de onde resido aparentemente isso feito para forçar usuário pagar uma entrega premium caso deseje uma distribuidora próxima mais viável ligar para uma distribuidora,1
Zé Delivery,fazem propaganda de entrega grátis de segunda sexta mas nem todas entregas são grátis,4
Zé Delivery,zé delivery como sempre arrasando preço bom bebida bem gelada de qualidade entrega rápida aplicativo top das galáxia,5
Zé Delivery,sempre rápido cerveja gelada,5
Zé Delivery,app muito bom entrega super rápida,5
Zé Delivery,amei app confiável mesmo amei,5
Zé Delivery,excelente bons preços entrega absolutamente rápida,5
Zé Delivery,entraga rapidinho gelada preço ótimo👍🏽,5
Zé Delivery,suporte horrível bloquearam minha conta sem dar explicação arrependimento de ter utilizado esse serviço por tanto tempo nunca mais,1
Zé Delivery,taxa de conveniência ridículo,3
Zé Delivery,sentir falta de mais opções de produtos disponibilidade de coisas simples como gelo,4
Zé Delivery,is preço taxa de entrega cara no aplicativo comprei por nsonpoder sair de casa só muda pior app preço tá ótimo pena que vinho tinga acabou fretis grátis,2
Zé Delivery,app não está funcionando na minha região,1
Zé Delivery,cerveja nao estava bem gelada,3
Zé Delivery,péssima administração do app bloquearam meu acesso meu email sem fizesse nada errado não me deram motivo nem uma explicação para fato,1
Zé Delivery,ótimo apenas alguns parceiros que atrasam demais entrega,5
Zé Delivery,shom de bola brasil rumo ao exa ze delibery dando shom,5
Zé Delivery,melhor aplicativo de delivery muito rápida entrega,5
Zé Delivery,muito bom app mas sinto que da pra melhorar em vários aspectos gostei de usar porém ainda não meu favorito,4
Zé Delivery,comprei chegou muito rápido mesmo estando em outro estado parabéns ao zé,5
Zé Delivery,vocês são um lixo com esse papo de entrega grátis de seg sex ao chegar no valor mínimo vcs colocam mais uma barreira pro cliente gastar mais pra ter entrega grátis isso inadmissível,1
Zé Delivery,fui mal atendida pelo entregador,1
Zé Delivery,ótima opção para se divertir sem sair de casa,5
Zé Delivery,super prático rápido vale muito pena,5
Zé Delivery,super rápido motoboy super educado obrigado,5
Zé Delivery,eita aí sim bebida chegou trincado achei zé delivery era lenda arrasou virei cliente obrigada,5
Zé Delivery,almoçar nota dez rápido na entrega,5
Zé Delivery,muito bom adorei chegou rápido,5
Zé Delivery,cupom de entrega gratis nao ta selecionando,2
Zé Delivery,me mandar ir no gmail pra buscar um código de login crashar quando eu troco de app simplesmente impossibilita que eu use seus gestores de produto não sabem priorizar,1
Zé Delivery,ate momento nota,5
Zé Delivery,propaganda enganosa troca de camisa,1
Zé Delivery,variedade de produtos entrega rápida profissionais,5
Zé Delivery,muito fácil de usar entrega foi bem rápida,5
Zé Delivery,muito bom obrigado seu zé,5
Zé Delivery,show papai assim ficou muito mais fácil de fazer pedido,5
Zé Delivery,está faltando localização do entregador,5
Zé Delivery,bebida gelada chega rapidinho,5
Zé Delivery,se toda vez vier rápido bem gelado vou ficar satisfeita,4
Zé Delivery,atualmente zé ta uma negação no app mostra pra mim preço da cerveja corona ml partir de unidades quando estava comprando adquirir cupom pra trocar valor foi pra uma absurdo com que fazem com cliente fidelidade nota,2
Zé Delivery,app era ótimo mas tem um tempo que está fechada alguém sabe que aconteceu,4
Zé Delivery,top demais facilitou vida,5
Zé Delivery,estou adorando zé muito bom esse aplicativo,5
Zé Delivery,amo aplicativo mais só vou dar estrelas quando realmente pude acompanhar entrega em tempo real com tela inteira limpa hoje muito complicado ainda fazer isso,4
Zé Delivery,hoje dia fiz um pedido pelo ze delivery chegou rapido porem tive infelicidade do meu pedido ser entregue por esse moto boy mal educado grosseiro sem noção nenhuma segundo ele tenho que fazer pedido la na rua porq minha localização puxa na rua de baixo sendo que nao utilizei localização somente digitei nome da rua n° enfim tenho que sair na rua para fazer pedido logo em seguida sem paciência nenhuma para aguardar código extremamente grosseiro por causa desse tipo de,1
Zé Delivery,parabéns entrega foi super rápido,5
Zé Delivery,horário de funcionamento curto,2
Zé Delivery,no zé pediu chegou valeu,5
Zé Delivery,cobram pouco mais pra entregas mais rápido mas nem entregam não devolvem valor massa isso,1
Zé Delivery,lixo melhor que app,1
Zé Delivery,entrega cara não tem produtos da cocacola,2
Zé Delivery,alguns endereços não batem dificultando entrega,4
Zé Delivery,beleza pura costei da pontualidade,5
Zé Delivery,muito bom rápido ha entrega,5
Zé Delivery,aplicativo não faz nenhuma gestão dos estabelecidos se atrasa te coloca para falar com lógica não querem ter nenhum trabalho com intermediação não tem nada para te ajudar não foi bem atendido fica por isso mesmo,2
Zé Delivery,localização em tempo real muito útil,5
Zé Delivery,opção de aceitar ou não substituição precisa ser aplicada antes do pagamento,4
Zé Delivery,top demais meu amigo,5
Zé Delivery,melhor app amo esse app fazer meus pedidos,5
Zé Delivery,melhor que nós temos,5
Zé Delivery,muito bem elaboradoobjetivo rápido,5
Zé Delivery,acho que aplicativo tinha que enfor quantos minutos fata pra entrega chegar,3
Zé Delivery,melhor entrega cerveja super gelada parabéns,5
Zé Delivery,fiz um pedido jogo era nada do pedido chegar entrei em contato com suporte que tentou ligar para loja liguei para loja do próprio zé delivery sem sucesso entrei em contato pelo whatsapp sem resposta suporte devolveu meu dinheiro sem nenhuma compensação ou cupom nem avaliar pedido para dar nota negativa eu consegui descaso considerando não usar mais,1
Zé Delivery,só aceita pepsi boa sorte guerreiro,1
Zé Delivery,muitas vezes não funciona geralmente qdo mais precisars,1
Zé Delivery,precisa de mais descontos para aumentar os pedidos,5
Zé Delivery,intuitivo rápido não há poluição visual quando estamos escolhendo,5
Zé Delivery,muito bom mesmo,5
Zé Delivery,muito bom rápido melhor esperiesia,5
Zé Delivery,amei que tirou taxa de entrega de segunda sexta uhuuuuuu,5
Zé Delivery,app não dá nenhum suporte ao cliente joga pro parceiro ainda não permite cancelamento tive mais de uma hora de atraso não consegui cancelar horrível,1
Zé Delivery,só fato de pedir sua bebida sem sair de casa já vale as estrelas,5
Zé Delivery,sobre algum problema nos pedidos aplicativo péssimo,2
Zé Delivery,estou refém de uma distribuidora que está com meu pedido faz hmin ainda não mandou pra entrega mas aplicativo não me permite cancelar zé delivery conivente com golpes lixo de aplicativo,1
Zé Delivery,gosto de comprar pq sério,5
Zé Delivery,só podia ter entrega depois da oohs no meu bairro escanie tampinhas deu que escanie tampinhas na contagem isso ta totalmente errado sacanagem como pode tampinhas ser pontos,5
Zé Delivery,me surpreendi ao perceber que as cervejas vieram com gelo na sacola para manter temperatura,5
Zé Delivery,rápido na entrega pessoas educadas,5
Zé Delivery,não vale pena muito poucas distribuidoras já tentei pedir em vários endereços pela cidade aparece que não tem nenhuma,2
Zé Delivery,então participei da promoção comprando bramas ganhava bola mas não ganhei,5
Zé Delivery,depois de esperar min cancelase os pedidos sem dar satisfação não pode ser um app sério,1
Pigz,app bem prático de usar acredito que se gente pudesse avaliar estabelecimento seria ótimo pois teríamos um parâmetro de qualidade do serviço eou comida fugir de estabelecimento ruim como já aconteceu comigo,3
Pigz,aplicativo bom com bons preços mas precisa colocar opção de deixarmos avaliação sobre restaurantes pois com muita frequência que as entregas chegam com minutos de atraso após horário programado da entrega,3
Pigz,ultimamente tenho tido muitos atrasos preços meio exagerados mas app continua sendo prático fácil os pagamentos talvez por culpa dos estabelecimentos mas falta app cobrar as lojas,3
Pigz,encontramos tudo de lanche neste app nota,5
Pigz,último app pra trabalhar de entrega de bike aro,5
Pigz,muito ruim se eu quero confirmar número do telefone por whatsapp não possível,1
Pigz,bom tem uns bugs as vezes só restaurantes pelo vi mas de boa,3
Pigz,já vale só pra me livrar do ifood,4
Pigz,ótimo aplicativoestou usando faz um bom temporecomendo,5
Pigz,muito bom rapidez segurança no pagamento agilidade na entrega ❤️❤️,5
Pigz,não recomendo um app que não te oferece suporte de nada se teu pedido atrasa ou vem errado tu que tem se virar pra falar com loja por que na gran maioria os contatos que tem no pigz das lojas ninguém te responde enfim só constrangimento,1
Pigz,falta cupom de desconto nunca está disponível,3
Pigz,dão poucos cupons de desconto,4
Pigz,nao tem nenhuma aba nesse aplicativo que mostre pedido em tempo real um equívoco pra acompanhar precisa falar direto com loja,1
Pigz,fiz pedido paguei no pix pedido está pendente sem confirmação agora to sem dinheiro sem comida que aplicativo de,1
Pigz,app super seguro aprovado,5
Pigz,deveria ter opção de cancelamento pois por um erro no endereço tive que ligar pra empresa consertar endereço certo deveria ter opção alterar endereço caso esteja errado,1
Pigz,aplicativo lento demora muito para atender os comandos haja paciência tem que clicar várias vezes para fechar aba de eventos ou pra clicar nos pedidos aplicativo péssimo,4
Pigz,app sensacional parabéns agora só falta idealizar um app para entregadores através da pigz,5
Pigz,trava some vc nao localiza pedido putz,3
